wordcount;titleSentiment;textSentiment;sentimentValue;Star Rating
4.0;1.0;1.0;0.6946132881913312;5
3.0;1.0;1.0;0.7036848999693831;5
2.0;0.0;1.0;0.7274064792791561;5
2.0;1.0;1.0;0.7290006586523401;5
2.0;1.0;1.0;0.7364849716820878;5
6.0;1.0;1.0;0.7775944112834658;5
2.0;1.0;1.0;0.7892840992683733;5
2.0;1.0;1.0;0.7892840992683733;5
9.0;1.0;1.0;0.794210584136167;5
9.0;1.0;1.0;0.7964592393297233;5
6.0;1.0;1.0;0.8250062267641357;5
10.0;1.0;1.0;0.8486203812383325;5
12.0;0.0;1.0;0.8769455680589548;4
3.0;1.0;1.0;0.9502445375291844;5
3.0;0.0;1.0;0.9502445375291844;5
11.0;1.0;1.0;0.9703495487273479;4
9.0;0.0;1.0;0.9833436469925811;5
3.0;0.0;1.0;0.9845039874196955;5
15.0;1.0;1.0;0.9875334198695158;4
7.0;1.0;1.0;1.0158067027225908;5
8.0;1.0;1.0;1.0349163821288017;5
7.0;1.0;1.0;1.0805100826193086;5
6.0;1.0;1.0;1.1124764077101597;5
18.0;1.0;1.0;1.1176293984723555;4
4.0;1.0;1.0;1.1324859398915716;5
1.0;1.0;1.0;1.165488007226509;5
1.0;1.0;1.0;1.165488007226509;5
7.0;1.0;1.0;1.1738691703782254;5
3.0;1.0;1.0;1.1755643481282338;5
2.0;1.0;1.0;1.2045016189965068;5
5.0;1.0;1.0;1.2131584025905637;5
1.0;1.0;1.0;1.2139421714046004;5
14.0;1.0;1.0;1.2520745197362697;4
2.0;1.0;1.0;1.2712604743582523;5
3.0;1.0;1.0;1.2940112542762372;5
6.0;1.0;1.0;1.3622623939891931;5
2.0;1.0;1.0;1.3795299147000695;5
2.0;1.0;1.0;1.3795299147000695;5
6.0;0.0;1.0;1.3956457796568655;5
3.0;-1.0;1.0;1.405696999784983;5
9.0;1.0;1.0;1.4137229404687164;5
2.0;1.0;1.0;1.4227142158206205;5
7.0;1.0;1.0;1.4250767923350358;5
5.0;1.0;1.0;1.4969270885723798;5
9.0;0.0;1.0;1.5277968041247558;5
2.0;1.0;1.0;1.5933008062007696;5
2.0;0.0;1.0;1.5933008062007696;5
3.0;1.0;1.0;1.6308998956057812;5
15.0;1.0;1.0;1.7698177425486767;4
1.0;1.0;1.0;1.837082362558044;5
5.0;1.0;1.0;1.8818057000064565;5
3.0;1.0;1.0;1.94386241769239;5
3.0;1.0;1.0;1.94386241769239;5
2.0;1.0;1.0;2.0529319053816817;5
7.0;1.0;1.0;2.05555639366319;5
2.0;1.0;1.0;2.066293714165454;5
2.0;1.0;1.0;2.066293714165454;5
2.0;0.0;1.0;2.066293714165454;5
5.0;1.0;1.0;2.098546667748921;5
1.0;1.0;1.0;2.2203869835864225;5
2.0;1.0;1.0;2.295085568258301;5
2.0;0.0;1.0;2.3330127336909143;5
1.0;1.0;1.0;2.4949019031120727;5
3.0;1.0;1.0;2.8148181335684743;5
1.0;1.0;1.0;2.9243930861663596;5
1.0;1.0;1.0;2.9243930861663596;5
1.0;1.0;1.0;2.9243930861663596;5
3.0;-1.0;1.0;3.2645785544908428;5
